Cust_ID,ShipToSourceCustomerName,ShipToCity,ShipTo_St,Group
0344,0344 OMEGA MOTION,SALTILLO,MS,Furn
ABBO,ABBOTT BALL COMPANY,WEST HARTFORD,CT,Trade
0344,0344 OMEGA MOTION,SALTILLO,MS,Furn
GECO,GECOM CORP,GREENSBURG,IN,Trade
GECO,GECOM CORP,GREENSBURG,IN,Trade
ABBO,ABBOTT BALL COMPANY,WEST HARTFORD,CT,Trade
GECO,GECOM CORP,GREENSBURG,IN,Trade
ABBO,ABBOTT BALL COMPANY,WEST HARTFORD,CT,Trade
0344,0344 OMEGA MOTION,SALTILLO,MS,Furn
NUCO,NUCOR-LMP INC,MARYVILLE,MO,Trade
GECO,GECOM CORP,GREENSBURG,IN,Trade
GECO,GECOM CORP,GREENSBURG,IN,Trade
NUCO,NUCOR-LMP INC,MARYVILLE,MO,Trade
NUCO,NUCOR-LMP INC,MARYVILLE,MO,Trade
CONT,CONTINENTAL TRADING CORP,GREENWICH,CT,9999
CONT,CONTINENTAL TRADING CORP,GREENWICH,CT,Trade
NUCO,NUCOR-LMP INC,MARYVILLE,MO,Trade
0344,0344 OMEGA MOTION,SALTILLO,MS,Furn
CONT,CONTINENTAL TRADING CORP,GREENWICH,CT,Trade
CONT,CONTINENTAL TRADING CORP,GREENWICH,CT,Trade
,BAD CUST here,GREENWICH,CT,Trade
0344,0344 OMEGA MOTION,SALTILLO,MS,Furn
AVIG,AVIGNON STEEL,PENNSAUKEN,NJ,Trade
CONT,CONTINENTAL TRADING CORP,GREENWICH,CT,Trade
CONT,CONTINENTAL TRADING CORP,GREENWICH,CT,Trade
AVIG,AVIGNON STEEL,PENNSAUKEN,NJ,Trade
CONT,CONTINENTAL TRADING CORP,GREENWICH,CT,Trade
CONT,CONTINENTAL TRADING CORP,GREENWICH,CT,Trade
AVIG,AVIGNON STEEL,PENNSAUKEN,NJ,Trade
0344,0344 OMEGA MOTION,SALTILLO,MS,Furn
0344,0344 OMEGA MOTION,SALTILLO,MS,Furn
AVIG,AVIGNON STEEL,PENNSAUKEN,NJ,Trade
CONT,CONTINENTAL TRADING CORP,GREENWICH,CT,Trade
CONT,CONTINENTAL TRADING CORP,GREENWICH,CT,Trade
AVIG,AVIGNON STEEL,PENNSAUKEN,NJ,Trade
AVIG,AVIGNON STEEL,PENNSAUKEN,NJ,Trade
CONT,CONTINENTAL TRADING CORP,GREENWICH,CT,Trade
CONT,CONTINENTAL TRADING CORP,GREENWICH,CT,Trade
CONT,CONTINENTAL TRADING CORP,GREENWICH,CT,Trade
CONT,CONTINENTAL TRADING CORP,GREENWICH,CT,Trade
ABBO,ABBOTT BALL COMPANY,WEST HARTFORD,CT,Trade
ABBO,ABBOTT BALL COMPANY,WEST HARTFORD,CT,Trade
ABBO,ABBOTT BALL COMPANY,WEST HARTFORD,CT,Trade
0344,0344 OMEGA MOTION,SALTILLO,MS,Furn
0344,0344 OMEGA MOTION,SALTILLO,MS,Furn
ACCE,ACCENT WIRE-TIE,TOMBALL,TX,Trade
INTE,INTERNATIONAL PAPER,RIEGELWOOD,NC,Trade
INTE,INTERNATIONAL PAPER,RIEGELWOOD,NC,Trade
INTE,INTERNATIONAL PAPER,RIEGELWOOD,NC,Trade
ACCE,ACCENT WIRE-TIE,TOMBALL,TX,Trade
SYLV,SYLVAMO NORTH AMERICA LLC,EASTOVER,SC,Trade
OVAL,OVALSTRAPPING,FORT PAYNE,AL,Trade
